ADDRESS,City,Country,NAME,URLLINK,Geom,Local Area,Geo Local,result_num,osm_id,display_na,category,type,latlong,lon,lat
2985 Kingsway,Vancouver,Canada,Collingwood,https://www.vpl.ca/location/collingwood-branch,[object Object],Renfrew-Collingwood,Renfrew-Collingwood,0,166090082,"VPL Collingwood Branch, 2985, Kingsway, Norquay Village, Renfrew-Collingwood, Vancouver, Metro Vancouver Regional District, British Columbia, V5R, Canada",amenity,library,"49.2362268,-123.04269877200488",-123.04269877200488,49.2362268
1950 Argyle Drive,Vancouver,Canada,Fraserview,https://www.vpl.ca/location/fraserview-branch,[object Object],Victoria-Fraserview,Victoria-Fraserview,0,249407303,"VPL Fraserview Branch, 1950, Argyle Drive, Victoria-Fraserview, Vancouver, Metro Vancouver Regional District, British Columbia, V5P, Canada",amenity,library,"49.2196414,-123.066844",-123.066844,49.2196414
870 Denman St,Vancouver,Canada,Joe Fortes,https://www.vpl.ca/location/joe-fortes-branch,[object Object],West End,West End,0,241200760,"West End Community Centre, 870, Denman Street, Denman Village, West End, Vancouver, Metro Vancouver Regional District, British Columbia, V6G, Canada",building,public,"49.290204349999996,-123.1362510530031",-123.1362510530031,49.29020435
2112 W 42nd Ave,Vancouver,Canada,Kerrisdale,https://www.vpl.ca/location/kerrisdale-branch,[object Object],Kerrisdale,Kerrisdale,0,4243137390,"Vancouver Public Library Kerrisdale Branch, 2112, West 42nd Avenue, Kerrisdale, Vancouver, Metro Vancouver Regional District, British Columbia, V6M 2B6, Canada",amenity,library,"49.2332919,-123.156131",-123.156131,49.2332919
8386 Granville St,Vancouver,Canada,Marpole,https://www.vpl.ca/location/marpole-branch,[object Object],Marpole,Marpole,0,370482940,"8384,8386, Granville Street, Marpole, Vancouver, Metro Vancouver Regional District, British Columbia, V6P, Canada",building,retail,"49.210399800000005,-123.1400740137984",-123.1400740137984,49.2103998
2969 E 22nd Ave,Vancouver,Canada,Renfrew,https://www.vpl.ca/location/renfrew-branch,[object Object],Renfrew-Collingwood,Renfrew-Collingwood,0,92406904,"Vancouver Public Library - Renfrew, 2969, East 22nd Avenue, Renfrew-Collingwood, Vancouver, Metro Vancouver Regional District, British Columbia, V5R, Canada",amenity,library,"49.2510816,-123.04226898612707",-123.04226898612707,49.2510816
1661 Napier St,Vancouver,Canada,Britannia,https://www.vpl.ca/location/britannia-branch,[object Object],Grandview-Woodland,Grandview-Woodland,0,1934829660,"VPL Britannia Branch, 1661, Napier Street, Little Italy, Grandview-Woodland, Vancouver, Metro Vancouver Regional District, British Columbia, V5L, Canada",amenity,library,"49.2749646,-123.0707081",-123.0707081,49.2749646
401 Main St,Vancouver,Canada,Carnegie,https://www.vpl.ca/location/carnegie-branch,[object Object],Downtown,Downtown,0,1502585720,"Carnegie Community Centre, 401, Main Street, Chinatown, Strathcona, Vancouver, Metro Vancouver Regional District, British Columbia, V6A, Canada",amenity,community_centre,"49.2810908,-123.1000958",-123.1000958,49.2810908
350 W Georgia St,Vancouver,Canada,Central Branch,https://www.vpl.ca/location/central-library,[object Object],Downtown,Downtown,0,37111640,"Vancouver Public Library, 350, West Georgia Street, Yaletown, Downtown, Vancouver, Metro Vancouver Regional District, British Columbia, V6B 6B1, Canada",amenity,library,"49.27965895,-123.11561399015199",-123.11561399015199,49.27965895
4515 Dunbar St,Vancouver,Canada,Dunbar,https://www.vpl.ca/location/dunbar-branch,[object Object],Dunbar-Southlands,Dunbar-Southlands,0,358006821,"Vancouver Public Library - Dunbar Branch, 4515, Dunbar Street, Central Dunbar, Dunbar-Southlands, Vancouver, Metro Vancouver Regional District, British Columbia, V6S, Canada",amenity,library,"49.2459942,-123.185598517231",-123.185598517231,49.2459942
